facility_id|license|dba_name|facility_type|address|city|state|zip|latitude|longitude|location|has_location
29180|2542904|TASTY CHICKEN & SALAD FOOD MART|Restaurant|159 W 95TH ST|CHICAGO|IL|60628|41.721551|-87.628602|"
,  
(41.721550830769104, -87.62860242455531)"|t
29181|2542923|BIG AL'S MARKET|Grocery Store|2253-2255 E 83RD ST |CHICAGO|IL|60617|41.744316|-87.568868|(41.744315945065956, -87.56886758769008)|t
29182|2542930|VERUCA CHOCOLATES|Restaurant|1332 N HALSTED ST |CHICAGO|IL|60642|41.906038|-87.648292|(41.90603826468031, -87.6482917185286)|t
29183|2542936|JOSEPH'S RESTAURANT AND BAR|Restaurant|3123-3127 W 111TH ST |CHICAGO|IL|60655|41.691475|-87.699379|(41.69147450511024, -87.69937888995084)|t
29184|2542937|JOSEPH'S RESTAURANT AND BAR|Restaurant|3123-3127 W 111TH ST |CHICAGO|IL|60655|41.691475|-87.699379|(41.69147450511024, -87.69937888995084)|t
29185|2542938|KOKKU LLC|Restaurant|1140 W Jackson BLVD |CHICAGO|IL|60607|41.877916|-87.656216|(41.87791559996099, -87.65621646106639)|t
29186|2542957|HALFWIT COFFEE ROASTERS|Restaurant|3431 W FULLERTON AVE |CHICAGO|IL|60647|41.924539|-87.713344|(41.924539437010985, -87.71334410831454)|t
29187|2542961|A & R  FOOD MARKET|Grocery Store|3452 W CHICAGO AVE |CHICAGO|IL|60651|41.895596|-87.713540|(41.89559643977156, -87.71353997898876)|t
29188|2542966|MR. POLLO|Restaurant|3026 W BELMONT AVE |CHICAGO|IL|60618|41.939467|-87.703811|(41.93946745056518, -87.70381061827938)|t
29189|2542969|MR. POLLO|Restaurant|5222 W DIVERSEY AVE |CHICAGO|IL|60639|41.931498|-87.757382|(41.93149804730922, -87.75738202142212)|t
29190|2542970|COOKIES AND CREAM|Mobile Frozen Desserts Vendor|3109 N BROADWAY |CHICAGO|IL|60657|41.938054|-87.644187|(41.93805424492949, -87.64418657572729)|t
29191|2542983|RUBY'S SOULFOOD|Restaurant|5638 W CHICAGO AVE |CHICAGO|IL|60651|41.894942|-87.766879|(41.89494199271389, -87.76687933825816)|t
29192|2543071|STEINGOLD'S OF CHICAGO|Restaurant|1840 W IRVING  PARK RD |CHICAGO|IL|60613|41.954305|-87.675786|(41.9543049818164, -87.67578577985408)|t
29193|2543076|THEATER ON THE LAKE/THE LAKEFRONT RESTAURANT|Restaurant|2401 N LAKE SHORE DR|CHICAGO|IL|60614|41.926252|-87.631045|"
,  
(41.926251609692045, -87.63104491217098)"|t
29194|2543077|THEATER ON THE LAKE/THE LAKEFRONT RESTAURANT|Restaurant|2401 N LAKE SHORE DR |CHICAGO|IL|60614|41.926252|-87.631045|(41.926251609692045, -87.63104491217098)|t
29195|2543085|NEW HOT WOK CHINESE KITCHEN|Restaurant|10611 S EWING AVE |CHICAGO|IL|60617|41.702362|-87.535136|(41.70236225905786, -87.53513622127201)|t
29196|2543086|ANDREA'S BAKERY|Bakery|4140 W 63RD ST |CHICAGO|IL|60629|41.778718|-87.726825|(41.77871818821375, -87.72682467788775)|t
29197|2543089|THE GROWLING RABBIT|Restaurant|5938-5940 N BROADWAY |CHICAGO|IL|60660|41.990162|-87.660418|(41.99016229520979, -87.6604180086472)|t
29198|25431|Hannah G.Solomon Elementary  School|School|6206 N HAMLIN AVE|CHICAGO|IL|60659|41.993970|-87.724080|"
,  
(41.99397006658641, -87.7240799059587)"|t
29199|2543141|GORILLA SUSHI LOGAN SQUARE|Restaurant|2735 N MILWAUKEE AVE|CHICAGO|IL|60647|41.930969|-87.710286|"
,  
(41.93096908810037, -87.71028632230771)"|t
29200|2543146|BREW BREW COFFEE AND TEA|Restaurant|1641 W 18TH ST |CHICAGO|IL|60608|41.857657|-87.667894|(41.85765704388003, -87.66789398532075)|t
29201|2543156|STARBUCKS COFFEE #47565|Restaurant|150 N RIVERSIDE PLZ|CHICAGO|IL|60606|41.885089|-87.638406|"
,  
(41.88508945576888, -87.63840559417186)"|t
